PatternId;Name;Symptoms;Toungue;Pulse;Luckhi;Acupuncture;Herb
tamkhitamduonghu;Tâm khí,tâm dương hư;"Hồi hộp đánh trống ngực, khó thở khi gắng sức, mệt mỏi, Ra mồ hôi tay nhiều, Dễ ra mồ hồi đầu mặt, Lưng nhiều, Cảm giác tức ngực khó chịu vùng ngực bên trái,
, Tay lạnh,  Mặt sáng nhợt,  Môi hơi tím.";Pale, slightly wet;Empty trong tâm khí hư và Pale, slightly wet trong Tâm dương hư;Bộ Tâm day bổ. Kèm theo hơ ngải. ;Khí hải, Đản trung, Tâm du, Thông lý, Đại chùy, Nội quan. Tất cả đều bổ;Nhục Quế Bảo Nguyên Thang
tamhuyethu;Tâm huyết hư;"Hôi hộp đánh trống ngực, chóng mặt, mất ngủ, ngủ hay mơ, trí nhớ kém, lo lắng, hay giật mình,
 da nhợt , môi nhợt nhạt";Pale, Thin, slightly dry.;Choppy or Fine.;Bộ Tâm day bổ kết hợp bộ Can để bổ huyết.;Quan nguyên, Cách du, Thần môn, Tỳ du, Cự khuyết, Cưu vĩ. Tất cả đều bổ. ;Sâm Kì Tứ Vật Thang
tamamhu;Tâm âm hư;Hồi hộp đánh trống ngực, mất ngủ, ngủ hay mơ, hay giật mình, trí nhớ kém, lo lắng, dễ bồn chồn, đổ mồ hôi về đêm;"no coating, deep midline crack reaching 
the tip"; Floating-Empty;Bộ Tâm day bổ kết hợp bộ Thận. Hơ ngải bộ Thận một chút. ;Quan nguyên, Tam âm giao, Thần môn, Phục lưu, Cự khuyết, Âm khích, Cưu vĩ. Tất cả đều bổ;Thiên Vương Bổ Tâm Đan
tamhoavuong;Tâm hỏa vượng;"Hồi hộp đánh trống ngực, khát nước, loét miệng và lưỡi, dễ bồn chồn, cảm thấy bị kích động, cảm thấy nóng, mất ngủ,
hay mơ mộng, khuôn mặt đỏ, nước tiểu sẫm màu hoặc tiếu máu, đắng miệng   (đặc biệt sau một đêm mất ngủ)";"Red, tip redder and swollen with red points, 
yellow coating. There may be a midline crack 
reaching to the tip";"Full-Rapid-Overflowing especially on the left 
Front position. It could also be Hasty (Rapid and 
stopping at irregular intervals).";Bộ Tâm day tả kết hợp theo bộ Tam Tiêu day tả. ( Có thể thử nghiệm với bộ Tiểu Trường day tả);Tam âm giao, Chiếu hải, Thần môn, Hậu đính, Thần đình, Thiếu phủ, Cưu vĩ, Thiếu xung. Tất cả đều tả trừ Tam âm giao và Chiếu hải. ;Tả Tâm Thang
tamkhiuatket;Tâm khí uất kết;Đánh trống ngực,nặng ngực cảm giác như bị có vật gì đè nặng lên ngực, cảm giác nghẹn ở cổ họng,hay thở dài, ăn kém không muốn ăn, buồn nôn nhẹ, chân lạnh, đôi môi hơi tím, nước da nhợt;"slightly Pale-Purple on the sides in the 
chest area ";" Empty but very slightly Overflowing on the left 
Front position";Bộ Tâm day tả kết hợp bộ Can day tả. ;Đản trung, Thần môn, Liệt khuyết, Thông lý, Nội quan, Phong long, Cưu vĩ. Tất cả đều tả. ;Mộc Hương Lưu Khí Ẩm, Bán Hạ Hậu Phác Thang
tammachtacnghen;Tâm mạch tắc nghẽn;"Hồi hộp đánh trống ngực, khó thở nhẹ và không thể nằm sấp, trầm cảm bồn chồn về tinh thần, cảm giác nặng ngực như có vật gì đè, đau như dao đâm ở  đau ở vùng tim đến và cơn đau lan
tỏa ra sau lưng hoặc vai đau tăng 
khi tiếp xúc với lạnh và giảm bớt bởi nhiệt, bàn tay lạnh, môi  tím, móng tay tím";Purple on the sides in the chest area, Swollen with a sticky coating;"Wiry, Choppy or Knotted; Slippery if Phlegm is predominant.";Bộ Tâm day tả kèm theo bộ Tâm Bào day tả. ;Đản trung, Tâm du, Cách du, Thần môn, Liệt khuyết, Thông lý, Trung quản, Nội quan, Phong long, Cưu vĩ. Tất cả đều tả trừ Trung Quản bổ;Chỉ Thực Qua Lâu Quế Chi Thang
dommetamkhieu;Đờm mê tâm khiêu;Rối loạn tâm thần, bất tỉnh,  lời nói không mạch lạc, nói lắp, mất ngôn ngữ, nôn đờm, âm thanh lọc xọc trong cổ họng, mắt rất đờ đẫn.;"Swollen with thick sticky coating, midline 
crack reaching the tip (Heart crack).";Slippery;Bộ Tỳ day bổ để trừ Đờm. ;Tâm du, Tỳ du, Giản sử, Trung quản, Đại chùy, Phong long, Nhân trung (Thủy câu), Thiếu xung. Tất cả đều tả trừ Trung Quản và Tỳ du bổ.;Định Đàm Thang
domhoanoinhieu;Đờm hỏa nội nhiêu;Hồi hộp đánh trống ngực, khát nước, mặt đỏ, đắng miệng ,cảm giác nặng ngực, nhiều đờm tiếng lọc xọc của đờm trong họng và ngực, bồn chồn lo âu, mất ngủ, rối loạn hành vi cưới khóc thất thường, đánh người, la hét. ;" Red, Swollen, yellow dry sticky coating, deep 
Heart crack. The tip may be redder and swollen 
with red points";Full-Rapid-Slippery or Rapid-Overflowing_x0002_Slippery or Rapid-Full-Wir;Bộ Tâm day tả kèm theo bộ Tỳ day bổ. ;Đại lăng, Bản thần, Tâm du, Tam âm giao, Thần môn, Chính dinh, Tỳ du, Giản sử, Thần đình, Trung quản, Hành gian, Phong long, Cưu vĩ, Thiếu phủ, Thiếu xung. Tất cả đều tả trừ  Trung Quản và Tỳ Du. ;Ôn Đởm Thang
tamhuyetutre;Tâm huyết ứ trệ;"Hồi hộp đánh trống ngực, đau như dao dâm hoặc buốt  ở ngực ở một ví trí cố định
có thể tỏa ra khía cạnh bên trong của cánh tay trái hoặc đến vai, nặng ngực, tím  môi và móng tay, bàn tay lạnh";"Purple in its entirety or only on the sides in 
the chest area.";Choppy, Wiry or Knotted;Bộ huyệt gì đó;Thần tàng, Đản trung, Cách du, Huyết hải, Khích môn, Thông lý, Quyết âm du, Nội quan. Tất cả đều tả. ;Huyết Phủ Trục Ứ Thang
canhuyethu;Can huyết hư;Hoa mắt chóng mặt, tê hoặc ngứa ran đặc biệt ở chân, mất ngủ, mờ mắt hoặc có màng mây màng nhện trong mắt, thị lực ban đêm giảm dần hoặc quáng gà , kinh nguyệt ít  hoặc vô kinh, khô da, trầm cảm hoặc cảm giác vô mục đích ;Pale body, especially on the sides, which, in extreme cases, can assume an orangey colour, Thin and slightly dry;Choppy or Fine.;Bộ Can day bổ. ;Quan nguyên, Tam âm giao, Cách du, Thận du, Khúc tuyền, Tỳ du, Can du, Túc tam lý. Tất cả đều bổ. ;Bổ Can Thang
